Ecotype,Fresh weight,ChlA,ChlB,Protein content,NO3-,Amino acid,Glc,Fru,G6P,Suc,starch,Fum,Mal,FK,GK,nINV,aINV,G6PDH,FBP,FUMARASE,iRub,mRub,SPS,UGP,PGM,cPGI,tPGI,pPGI,AGP,NRVs,NRVm
8271,0.046,1.222,0.339,13.691,103.458,41.043,3.143,2.419,361.846,2.752,58.082,4.485,11.343,209.8,303.085,272.4,958.615,576.175,227.57,6394.755,4360.1,4488.815,67.54,5912.76,8606.485,844.635,1267.145,422.51,1476.755,307.88,547.785
6098,0.066,1.285,0.328,11.106,128.014,29.078,3.071,3.052,252.594,1.856,59.366,10.902,5.766,85.51,121.25,191.42,434.96,420.69,572.54,2252.15,3632.78,4233.67,192.4316284,8100.31,6953.79,846.12,1193.75,347.63,1279.43,243.5,467.75
6940,0.075,1.268,0.303,13.428,124.918,37.313,2.777,2.988,310.192,3.118,70.744,6.121,7.372,180.335,143.575,189.6,734.04,1401.735,84.75,3505.54,4253.64,4680.56,98.79,10268.58,10277.63,961.195,1297.995,336.8,1646.615,309.125,458.01
7354,0.081,1.024,0.27,12.571,93.786,22.713,2.834,1.878,325.267,1.221,40.256,4.811,11.162,135.56,196.49,132.09,694.19,438.34,156.54,5338.47,3705.555,4403.835,240.21,7211.695,7934.085,709.66,1101.475,391.815,1310.5,306.84,537.09
8297,0.088,1.129,0.292,12.714,132.414,30.228,4.035,1.098,279.396,1.965,61.664,10.599,9.818,231.13,359.13,192.47,657.745,524.51,227.62,3809.02,4336.16,6382.26,192.4316284,9095.82,9738.975,685.595,1145.095,459.5,1654.63,279.405,539.935
4997,0.088,1.459,0.35,15.947,161.868,34.072,3.544,2.073,277.84,3.044,102.516,14.895,9.868,135.25,386.42,60.23,626.34,551.26,187.26,1442.09,5242.29,5340.19,84.38,7519.68,8697.1,733.84,1107.3,373.46,1267.48,307.36,514.35
7506,0.097,1.332,0.374,13.303,109.874,40.864,4.144,2.943,257.984,1.513,53.107,4.188,15.061,307.71,412.965,144.66,768.52,1065.895,242.545,2525.88,2480.795,3209.715,156.45,5920.525,4827.385,528.11,814.945,286.835,1253.255,172.19,297.89
6913,0.098,1.244,0.297,16.29,96.478,41.135,2.177,2.129,303.646,1.757,55.938,4.586,11.064,324.99,377.07,221.4,895.76,629.25,206.2,3557.16,4561.005,5798.685,89.85,8310.14,8989.61,923.535,1286.78,363.245,1621.585,271.305,531.225
5742,0.1,1.314,0.296,13.798,142.939,27.402,4.269,2.735,258.349,2.154,38.193,9.727,5.093,202.445,283.71,183.525,752.715,1318.095,134.71,4495.975,4545.285,4243.485,163.95,7678.71,9175.685,830.03,1339.83,509.8,1385.325,287.78,480.97
6085,0.101,1.443,0.305,15.055,110.993,32.859,8.317,2.652,131.357,1.288,129.456,16.944,14.129,334.07,245.65,190.29,591.33,586.53,152.06,1825.37,3955.429877,3187.11,192.4316284,8417.04,1525.95,560.35,726,165.65,1323.66,206.59,268.58
